# depth maps
# file: 'rgbd_dataset_freiburg1_plant.bag'
# timestamp filename
1305032354.009456 depth/1305032354.009456.png
1305032354.045335 depth/1305032354.045335.png
1305032354.076940 depth/1305032354.076940.png
1305032354.109860 depth/1305032354.109860.png
1305032354.145200 depth/1305032354.145200.png
1305032354.177151 depth/1305032354.177151.png
1305032354.209651 depth/1305032354.209651.png
1305032354.244910 depth/1305032354.244910.png
1305032354.277122 depth/1305032354.277122.png
1305032354.309733 depth/1305032354.309733.png
1305032354.345124 depth/1305032354.345124.png
1305032354.377091 depth/1305032354.377091.png
1305032354.407556 depth/1305032354.407556.png
1305032354.445200 depth/1305032354.445200.png
1305032354.477221 depth/1305032354.477221.png
1305032354.510161 depth/1305032354.510161.png
1305032354.545622 depth/1305032354.545622.png
1305032354.577445 depth/1305032354.577445.png
1305032354.610249 depth/1305032354.610249.png
1305032354.645613 depth/1305032354.645613.png
1305032354.677651 depth/1305032354.677651.png
1305032354.709984 depth/1305032354.709984.png
1305032354.745813 depth/1305032354.745813.png
1305032354.777561 depth/1305032354.777561.png
1305032354.813526 depth/1305032354.813526.png
1305032354.845896 depth/1305032354.845896.png
1305032354.877727 depth/1305032354.877727.png
1305032354.913596 depth/1305032354.913596.png
1305032354.946029 depth/1305032354.946029.png
1305032354.977691 depth/1305032354.977691.png
